Review,bac_si,nhan_vien,csvc_va_phuong_tien_pv
"Không bao giờ quay lại viện này 1 lần nào nữa. Gửi xe ngày chủ nhật mất 20k 1 buổi sáng..Nhân viên tiếp đón khách thì mặt như đâm lê, toàn nói trống không với khách hàng ""Khám thường hay giáo sư?"", ""Tên?"",....??? Như bố mẹ khách, kể cả có là khách lớn tuổi hơn mình..Bỏ 600k để khám giáo sư, mà giáo sư như hàng tôm hàng chợ, khách ngồi ngoài nói chuyện 1 chút mà hét lên ""Đừng nói chuyện nữa, trong viện mà cứ như cái chợ..."", đã thế còn hách dịch gọi bệnh nhân là ""Bà kia vào đây!"".Không hiểu mất tiền đi khám mà cứ như đi đày, thật sự gây mất thiện cảm cho bệnh nhân..Chưa biết chất lượng như nào nhưng cách làm việc bố đời như này thì chỉ tới 1 lần là đủ!",1,1,1.0
Nhân viên khoa sản bệnh viện quốc tế chưa được tận tâm.,2,0,0.0
"Bệnh viện khá tốt, nhân viên, điều dưỡng y tá cũng nhiệt tình. Nhưng bên cạnh đó cũng có 1 số bác sĩ tỏ ra ta đây quá... Căn tin sạch sẽ, khuôn viên bv rộng, xanh và sạch. Có phòng chờ cho người nhà rất ok. Nói chung là hài lòng về chất lượng bv nhưng không hài lòng về thái độ của 1 số bác sĩ. Vì bv tốt nên khám bệnh cũng khá lâu....",4,4,0.0
"Mát mẻ, nhân viên chu đáo",0,4,4.0
Thái Nguyên thân thiện dễ mến,0,0,0.0
"Bỏ qua tình trạng chung của các bệnh viện - quá tải và các vấn đề cơ sở vật chất liên quan thì vẫn đánh giá cao việc làm của Tổ Nhân Đạo - cung cấp nước sôi, nước lọc, cháo buổi sáng, cơm trưa, cơm chiều miễn phí, việc người đi lấy cơm tự chuẩn bị hộp đựng làm giảm rác thải nhựa..Đội ngũ bác sỹ, điều dưỡng cấp cứu và khoa thận giải quyết ca bệnh tương đối nhanh chóng, trao đổi kỹ lưỡng về tình trạng bệnh.",3,1,1.0
Đánh giá 5* là không khách quan. Bv cơ sở vật chất hiện đại. Nhưng chuyên môn thái độ tồi tệ. 10 lần buộc phải ra bệnh viện thì 9 lần gặp sự cố. Bệnh nhân mổ xong quên băng gạc trong bụng. Chính mình mổ ở đây. Tắt máy thở nhưng ko rút ống thở. Mình ko thở được lại vẫn còn thuốc mê. Ko dậy nổi. Tí chết hụt. Bác sĩ vô lương tâm nó chả khác gì kẻ đồ sát được cấp phép. Chết người thì lại lươn lẹo chối trách nhiệm,2,2,4.0
"Khoa khám bệnh theo yêu cầu khá là sạch sẽ và chuyên nghiệp. luôn có người hỗ trợ thủ tục, có wifi free và bs phục vụ tốt không như lời đồn của thiên hạ",4,0,4.0
"chưa có 1 bệnh viện nào dịch vụ chán như vậy, suốt ngày đuổi người nhà ra ngoài, ép đặt cơm bệnh viện, điều dưỡng thái độ, hách dịch, bác sĩ làm ăn cẩu thả",1,0,0.0
"Mình có trải nghiệm ko tốt ở bệnh viện này. Ngày đầu 6h30 mình đưa bé đến khám và bệnh viện cho nhập viện để phẫu thuật môi. Làm thủ tục giấy tờ xong rồi thì nhập viện và bác sĩ dặn cho bé nhịn ăn và uống sữa từ 0h và ko còn tư vấn gì thêm. 7h sáng hôm sau mình đưa bé đến lấy máu xét nghiệm thì bs nói đi lấy nước tiểu trước. Mình rất không hài lòng về cách làm này của bệnh viện, sao ko đưa lọ đựng nước tiểu từ hôm trước để mình chủ động hơn, cả 1 đêm bé ko ăn và uống sữa thì lấy đâu ra nước tiểu, em bé có giống người lớn đâu mà uống được nhiều nước lọc. Chất lượng tay nghề bác sỹ thì thì mình ko đánh giá nhưng cách chăm sóc bệnh nhân thì quá . Bệnh viện tuyến huyện còn có bác sĩ thăm khám và tư vấn nhiệt tình, nhưng bệnh viện này thì thiếu cái đó.",0,0,2.0
"Bệnh viện đầu ngành trong lĩnh vực hô hấp, với nhiều chuyên khoa: Lao Bệnh lý hô hấp Bệnh Phổi mạn tính (hen, bệnh phổi tắc nghẽn) ung thư phế quản-phổi, tầm soát và điều trị ung thư với đầy đủ trang thiết bị hiện đại phẫu thuật lồng ngực phẫu thuật các bệnh lý về xương-khớp Ghép phổi Cấp cứu - Hồi sức hô hấp...",0,0,4.0
Các bác sỹ tâm huyết với bệnh nhân mặc dù đông bệnh nhân nhưng các Bác sỹ vẫn rất tận tình cứu chữa.,5,0,0.0
Làm ăn thiếu chuyên nghiệp,0,3,3.0
thật sự mỗi lần đi khám ở bệnh viện tuyến công lập đúng kiểu như một cực hình luôn ý. Xếp số gì mà từ sáng đến trưa không khám nổi xong ngồi chờ kết quả khám thì xác định đi luôn cả ngày làm việc.,0,0,0.0
"Một trong những bệnh viện tốt của Hà Nội, trang thiết bị máy móc đầy đủ cùng với sự phục vụ tận tình của bác sĩ",4,4,4.0
Bác sỹ nhiệt tình. Y tá điều dưỡng tốt. Gửi xe máy rất đắt. Cò mua sổ khám bệnh rất nhiều,4,0,0.0
"Bệnh viện E là bệnh viện công ,được xây dựng gần một thế kỷ ,chứng kiến nhiều thời kỳ khác nhau của thời đại .Là bệnh viện đa khoa ,có nhiều khoa chuyên nổi tiếng như   .khoa phục hồi chức năng ,khoa tim mạch ,khoa thần  kinh đều là bác sỹ giỏi .Tuy bệnh viện không sang trang lại rất rộng ,sạch sẽ  .Đi đến khoa nào cũng có bác sĩ hướng dẫn nhiệt tình .Bất kỳ lúc nào bênh viênh cũng đông.Tôi thích nhất là những phòng khám theo yêu cầu ,nhanh ,sạch bác sĩ nhiệt tình mặc dù không đắt hơn là bao.Nhưng tôi không hiểu sao bệnh viện đã được xây dưng từ lâu ,là địa điểm mà ai cũng tin tưởng khi đến bênh viện .Cổng bệnh viên quá sơ sài không xứng với tên tuổi của bệnh viện .Nong rằng bộ y tế có cái nhin tổng thể  đem lại bộ mặt sang trang của cổng bênh viện",5,0,4.0
